11-19 02:07:33.236 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 0, Focusval 764260864.000000, LensPosition 399, H1 1518592768.000000, H2 0.000000, V 9928920.000000, HV 764260864.000000, H1_norm 1785411.125000, H2_norm 0.000000, V_norm 7855.195801, HV_norm 896633.187500
11-19 02:07:33.402 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 1, Focusval 761665664.000000, LensPosition 397, H1 1513371776.000000, H2 0.000000, V 9959570.000000, HV 761665664.000000, H1_norm 1779202.875000, H2_norm 0.000000, V_norm 7898.132812, HV_norm 893550.500000
11-19 02:07:33.569 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 2, Focusval 769026624.000000, LensPosition 395, H1 1528111616.000000, H2 0.000000, V 9941650.000000, HV 769026624.000000, H1_norm 1798942.625000, H2_norm 0.000000, V_norm 7905.010742, HV_norm 903423.812500
11-19 02:07:33.735 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 3, Focusval 766368384.000000, LensPosition 393, H1 1522858496.000000, H2 0.000000, V 9878300.000000, HV 766368384.000000, H1_norm 1792800.875000, H2_norm 0.000000, V_norm 7787.724609, HV_norm 900294.312500
11-19 02:07:33.903 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 4, Focusval 760766208.000000, LensPosition 391, H1 1511659904.000000, H2 0.000000, V 9872550.000000, HV 760766208.000000, H1_norm 1779145.625000, H2_norm 0.000000, V_norm 7839.063477, HV_norm 893492.375000
11-19 02:07:34.069 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 5, Focusval 765457728.000000, LensPosition 389, H1 1521036544.000000, H2 0.000000, V 9878960.000000, HV 765457728.000000, H1_norm 1792353.125000, H2_norm 0.000000, V_norm 7839.021973, HV_norm 900096.062500
11-19 02:07:34.236 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 6, Focusval 762597568.000000, LensPosition 387, H1 1515330816.000000, H2 0.000000, V 9864260.000000, HV 762597568.000000, H1_norm 1782458.375000, H2_norm 0.000000, V_norm 7837.766113, HV_norm 895148.062500
11-19 02:07:34.402 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 7, Focusval 767398272.000000, LensPosition 385, H1 1524806400.000000, H2 0.000000, V 9990090.000000, HV 767398272.000000, H1_norm 1796810.125000, H2_norm 0.000000, V_norm 7972.513672, HV_norm 902391.312500
11-19 02:07:34.569 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 8, Focusval 761114112.000000, LensPosition 383, H1 1512374784.000000, H2 0.000000, V 9853400.000000, HV 761114112.000000, H1_norm 1783977.875000, H2_norm 0.000000, V_norm 7854.210449, HV_norm 895916.062500
11-19 02:07:34.736 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 9, Focusval 764039552.000000, LensPosition 381, H1 1518253056.000000, H2 0.000000, V 9826110.000000, HV 764039552.000000, H1_norm 1793254.125000, H2_norm 0.000000, V_norm 7813.855957, HV_norm 900534.000000
11-19 02:07:34.903 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 10, Focusval 764299136.000000, LensPosition 379, H1 1518681472.000000, H2 0.000000, V 9916780.000000, HV 764299136.000000, H1_norm 1793786.500000, H2_norm 0.000000, V_norm 7882.744141, HV_norm 900834.625000
11-19 02:07:35.070 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 11, Focusval 765845760.000000, LensPosition 377, H1 1521811584.000000, H2 0.000000, V 9879980.000000, HV 765845760.000000, H1_norm 1798513.500000, H2_norm 0.000000, V_norm 7856.016602, HV_norm 903184.750000
11-19 02:07:35.237 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 12, Focusval 759199808.000000, LensPosition 375, H1 1508500992.000000, H2 0.000000, V 9898590.000000, HV 759199808.000000, H1_norm 1782248.625000, H2_norm 0.000000, V_norm 7893.125488, HV_norm 895070.875000
